date,event name,501 3DA,max min,url
2023,Breconshire Superleague Series,54.0,85.2 24.2,https://leaderboard.dartconnect.com/leaderboard#t-t_540-singles_01_501_si_do-all-all-all-all-all
2023,Dansk Darts Superliga,77.1,90.7 61.9,https://leaderboard.dartconnect.com/leaderboard#t-t_510-singles_01_501_si_do-all-all-all-all-all
2023,Darts Point Bulls League - Slovenia,60.9,84.8 35.9,https://leaderboard.dartconnect.com/leaderboard#t-t_567-singles_01_501_si_do-all-all-all-all-all
2023,EDL Meistrite Liiga,65.7,75.9 54.0,https://leaderboard.dartconnect.com/leaderboard#t-t_381-singles_01_501_si_do-all-all-all-all-all
2023,Fife Superleague,57.6,85.1 22.6,https://leaderboard.dartconnect.com/leaderboard#t-t_558-singles_01_501_si_do-all-all-all-all-all
2023,Gibraltar Ranking,63.3,87.4 46.0,https://leaderboard.dartconnect.com/leaderboard#t-t_435-singles_01_501_si_do-all-all-all-all-all
2023,HYLO PDC Europe Super League,72.2,100.6 49.5,https://leaderboard.dartconnect.com/leaderboard#t-t_564-singles_01_501_si_do-all-all-all-all-all
2023,JDC Scotland - Gibraltar Qualifiers,52.6,131.2 26.9,https://leaderboard.dartconnect.com/leaderboard#t-t_354-singles_01_501_si_do-all-all-all-all-all
2023,Junior Darts Corporation Advanced Tour,73.4,99.5 53.1,https://leaderboard.dartconnect.com/leaderboard#t-t_417-singles_01_501_si_do-all-all-all-all-all
2023,Junior Darts Corporation Foundation Tour,56.9,85.4 23.3,https://leaderboard.dartconnect.com/leaderboard#t-t_420-singles_01_501_si_do-all-all-all-all-all
2023,Junior Darts Corporation Super 16,66.4,101.4 43.0,https://leaderboard.dartconnect.com/leaderboard#t-t_552-singles_01_501_si_do-all-all-all-all-all
2023,Latvia Darts Organization,50.6,87.8 15.5,https://leaderboard.dartconnect.com/leaderboard#t-t_456-singles_01_301_di_do-all-all-all-all-all
2023,MMDC Karikasari,45.4,72.8 24.1,https://leaderboard.dartconnect.com/leaderboard#t-t_534-singles_01_501_si_do-all-all-all-all-all
2023,MMDC Karikasari,45.4,70.6 19.4,https://leaderboard.dartconnect.com/leaderboard#t-t_384-singles_01_501_si_do-all-all-all-all-all
2023,MVM Partners Darts Cup 2023,63.5,86.8 38.0,https://leaderboard.dartconnect.com/leaderboard#t-t_621-singles_01_501_si_do-all-all-all-all-all
2023,Oranjebar Super Ranking 39,58.2,101.0 31.8,https://leaderboard.dartconnect.com/leaderboard#t-t_340-singles_01_501_si_do-all-all-all-all-all
2023,Oranjebar Super Ranking 40,58.8,100.7 27.4,https://leaderboard.dartconnect.com/leaderboard#t-t_453-singles_01_501_si_do-all-all-all-all-all
2023,PDC Challenge Tour,81.7,142.2 49.5,https://leaderboard.dartconnect.com/leaderboard#t-t_366-singles_01_501_si_do-all-all-all-all-all
2023,PDC Development Tour,73.6,113.2 36.4,https://leaderboard.dartconnect.com/leaderboard#t-t_372-singles_01_501_si_do-all-all-all-all-all
2023,PDC European Tour Associate Member Qualifiers,78.8,100.8 48.6,https://leaderboard.dartconnect.com/leaderboard#t-t_447-singles_01_501_si_do-all-all-all-all-all
2023,PDC European Tour Host Nation Qualifiers,72.8,101.5 38.3,https://leaderboard.dartconnect.com/leaderboard#t-t_444-singles_01_501_si_do-all-all-all-all-all
2023,PDC Nordic & Baltic Pro Tour,74.3,99.0 41.0,https://leaderboard.dartconnect.com/leaderboard#t-t_408-singles_01_501_si_do-all-all-all-all-all
2023,PDC Players Championship Tour,92.0,117.5 60.8,https://leaderboard.dartconnect.com/leaderboard#t-t_369-singles_01_501_si_do-all-all-all-all-all
2023,PDC Qualifying School 2023,78.9,106.2 42.1,https://leaderboard.dartconnect.com/leaderboard#t-t_348-singles_01_501_si_do-all-all-all-all-all
2023,PDC Women's Series,64.3,98.8 30.4,https://leaderboard.dartconnect.com/leaderboard#t-t_375-singles_01_501_si_do-all-all-all-all-all
2023,Poprad Darts League IV,43.3,69.5 27.8,https://leaderboard.dartconnect.com/leaderboard#t-t_432-singles_01_501_si_do-all-all-all-all-all
2023,Rahvaliiga 2.0,44.6,71.4 20.8,https://leaderboard.dartconnect.com/leaderboard#t-t_387-singles_01_501_si_do-all-all-all-all-all
2023,Rahvaliiga Hooaeg,45.3,73.5 25.3,https://leaderboard.dartconnect.com/leaderboard#t-t_531-singles_01_501_si_do-all-all-all-all-all
2023,Rubene Darts - Vasaras Liga,48.5,75.6 28.3,https://leaderboard.dartconnect.com/leaderboard#t-t_528-singles_01_501_si_do-all-all-all-all-all
2023,Scottish Darts Association Youth GrandPrix,54.0,81.0 17.9,https://leaderboard.dartconnect.com/leaderboard#t-t_411-singles_01_501_si_do-all-all-all-all-all
2023,Scottish Darts Tour,65.2,100.3 28.1,https://leaderboard.dartconnect.com/leaderboard#t-t_334-singles_01_501_di_do-all-all-all-all-all
2023,Summer Ranking 2023,60.0,89.8 26.6,https://leaderboard.dartconnect.com/leaderboard#t-t_507-singles_01_501_si_do-all-all-all-all-all
2023,Syntel Singles Championship,57.5,86.5 28.0,https://leaderboard.dartconnect.com/leaderboard#t-t_579-singles_01_501_si_do-all-all-all-all-all
2023,Team Topdarts Ranking,42.9,77.4 26.3,https://leaderboard.dartconnect.com/leaderboard#t-t_549-singles_01_501_si_do-all-all-all-all-all
2023,WMJDA Advanced,55.3,75.5 39.0,https://leaderboard.dartconnect.com/leaderboard#t-t_609-singles_01_501_si_do-all-all-all-all-all
2023,Dansk Dart Superliga,66.5,86.7 44.7,https://leaderboard.dartconnect.com/leaderboard#t-t_393-singles_01_501_si_do-all-all-all-all-all
2023,All Island Dart Tour,49.4,72.3 21.6,https://leaderboard.dartconnect.com/leaderboard#t-t_429-singles_01_501_si_do-all-all-all-all-all
2023,CDC Events Tour,80.5,106.1 57.3,https://leaderboard.dartconnect.com/leaderboard#t-t_504-singles_01_501_si_do-all-all-all-all-all
2023,CDC Evolution Tour,62.0,83.7 43.5,https://leaderboard.dartconnect.com/leaderboard#t-t_495-singles_01_501_si_do-all-all-all-all-all
2023,CDC Junior Tour,52.0,70.3 30.3,https://leaderboard.dartconnect.com/leaderboard#t-t_492-singles_01_501_si_do-all-all-all-all-all
2023,CDC Summer Series,69.0,95.9 42.0,https://leaderboard.dartconnect.com/leaderboard#t-t_501-singles_01_301_di_do-all-all-all-all-all
